Scenario,Model,SelectedTopPercent,SelectedSessions,ScoreThresholdAtCoverage,PurchasesCaptured,Precision,Recall,LiftVsTestBaseline
early_propensity,random_forest,0.05,124,0.6780352423,63,0.5080645161,0.164921466,3.279809154
early_propensity,random_forest,0.1,247,0.5969465947,105,0.4251012146,0.2748691099,2.744239778
early_propensity,random_forest,0.2,494,0.5072620105,172,0.3481781377,0.4502617801,2.247663056
early_propensity,random_forest,0.3,740,0.4409882063,223,0.3013513514,0.5837696335,1.94537286
late_session,random_forest,0.05,124,0.802311716,104,0.8387096774,0.2722513089,5.414288127
late_session,random_forest,0.1,247,0.7169231824,182,0.7368421053,0.4764397906,4.756682282
late_session,random_forest,0.2,494,0.5120149505,285,0.5769230769,0.7460732984,3.724325413
late_session,random_forest,0.3,740,0.3002810119,342,0.4621621622,0.8952879581,2.983486628
