Scenario,ScenarioName,Model,ModelName,CVPRAUC,OOFBestF1,Threshold,TestAccuracy,TestPrecision,TestRecall,TestF1,TestROCAUC,TestPRAUC,TrueNegative,FalsePositive,FalseNegative,TruePositive,BestParams,ElapsedSeconds
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,0.3336950504,0.4046493302,0.5495960452,0.6768045418,0.2737186478,0.6570680628,0.3864511162,0.740394278,0.3232903727,1418,666,131,251,"{""classifier__C"": 0.03}",16.9436596
early_propensity,早期购买倾向模型,decision_tree,决策树,0.3344929441,0.392810171,0.5922438599,0.7246553122,0.2857142857,0.5183246073,0.368372093,0.7272839184,0.3186591796,1589,495,184,198,"{""classifier__max_depth"": 12, ""classifier__min_samples_leaf"": 60, ""classifier__min_samples_split"": 20}",3.4634282
early_propensity,早期购买倾向模型,random_forest,随机森林,0.387281084,0.4377546401,0.439818181,0.7246553122,0.3017356475,0.5916230366,0.3996463307,0.7655761675,0.3583963551,1561,523,156,226,"{""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 5}",102.6657903
late_session,会话末期模型,logistic_regression,逻辑回归,0.6738854702,0.6764361079,0.6153022778,0.8771289538,0.5853131749,0.7094240838,0.6414201183,0.9153033333,0.6466381338,1892,192,111,271,"{""classifier__C"": 0.03}",1.4693891
late_session,会话末期模型,decision_tree,决策树,0.7121751003,0.6777952756,0.7945613379,0.8925385239,0.6496163683,0.664921466,0.6571798189,0.9221895067,0.6967735829,1947,137,128,254,"{""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 60, ""classifier__min_samples_split"": 20}",2.8527084
late_session,会话末期模型,random_forest,随机森林,0.7319040298,0.6891973446,0.5570019246,0.8888888889,0.6210762332,0.7251308901,0.6690821256,0.9223314508,0.7202764619,1915,169,105,277,"{""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 5}",102.4787835
